city,tmef,wf,tmn,tmx
평택,2022-07-06 00:00,흐리고 비,24,30
평택,2022-07-07 00:00,흐리고 비,24,30
평택,2022-07-08 00:00,흐림,24,31
춘천,2022-07-01 00:00,흐리고 비,23,29
춘천,2022-07-01 12:00,흐리고 비,23,29
춘천,2022-07-02 00:00,흐림,23,30
춘천,2022-07-02 12:00,흐림,23,30
춘천,2022-07-03 00:00,구름많음,22,30
춘천,2022-07-03 12:00,구름많음,22,30
춘천,2022-07-04 00:00,흐림,23,30
춘천,2022-07-04 12:00,흐림,23,30
춘천,2022-07-05 00:00,흐림,23,29
춘천,2022-07-05 12:00,흐리고 비,23,29
춘천,2022-07-06 00:00,흐리고 비,23,29
춘천,2022-07-07 00:00,흐리고 비,23,29
춘천,2022-07-08 00:00,흐림,23,29
원주,2022-07-01 00:00,흐리고 비,23,29
원주,2022-07-01 12:00,흐리고 비,23,29
원주,2022-07-02 00:00,흐림,23,31
원주,2022-07-02 12:00,흐림,23,31
원주,2022-07-03 00:00,구름많음,22,30
원주,2022-07-03 12:00,구름많음,22,30
원주,2022-07-04 00:00,흐림,23,30
원주,2022-07-04 12:00,흐림,23,30
원주,2022-07-05 00:00,흐림,23,30
원주,2022-07-05 12:00,흐리고 비,23,30
원주,2022-07-06 00:00,흐리고 비,23,30
원주,2022-07-07 00:00,흐리고 비,23,30
원주,2022-07-08 00:00,흐림,23,30
강릉,2022-07-01 00:00,흐림,24,30
강릉,2022-07-01 12:00,흐림,24,30
강릉,2022-07-02 00:00,구름많음,24,30
강릉,2022-07-02 12:00,구름많음,24,30
강릉,2022-07-03 00:00,구름많음,25,30
강릉,2022-07-03 12:00,구름많음,25,30
강릉,2022-07-04 00:00,흐림,24,30
강릉,2022-07-04 12:00,흐림,24,30
강릉,2022-07-05 00:00,흐림,24,29
강릉,2022-07-05 12:00,흐리고 비,24,29
강릉,2022-07-06 00:00,흐리고 비,23,30
강릉,2022-07-07 00:00,흐리고 비,24,29
강릉,2022-07-08 00:00,흐림,23,30
대전,2022-07-01 00:00,흐림,24,31
대전,2022-07-01 12:00,흐리고 비,24,31
대전,2022-07-02 00:00,구름많음,24,32
대전,2022-07-02 12:00,구름많음,24,32
대전,2022-07-03 00:00,구름많음,23,31
대전,2022-07-03 12:00,흐림,23,31
대전,2022-07-04 00:00,흐림,24,30
대전,2022-07-04 12:00,흐림,24,30
대전,2022-07-05 00:00,흐림,24,30
대전,2022-07-05 12:00,흐리고 비,24,30
대전,2022-07-06 00:00,흐리고 비,24,31
대전,2022-07-07 00:00,흐리고 비,24,31
대전,2022-07-08 00:00,흐림,24,31
세종,2022-07-01 00:00,흐림,23,30
세종,2022-07-01 12:00,흐리고 비,23,30
세종,2022-07-02 00:00,구름많음,23,32
세종,2022-07-02 12:00,구름많음,23,32
세종,2022-07-03 00:00,구름많음,23,31
세종,2022-07-03 12:00,흐림,23,31
세종,2022-07-04 00:00,흐림,23,30
세종,2022-07-04 12:00,흐림,23,30
세종,2022-07-05 00:00,흐림,23,30
세종,2022-07-05 12:00,흐리고 비,23,30
세종,2022-07-06 00:00,흐리고 비,24,30
세종,2022-07-07 00:00,흐리고 비,24,30
세종,2022-07-08 00:00,흐림,24,31
홍성,2022-07-01 00:00,흐림,24,30
홍성,2022-07-01 12:00,흐리고 비,24,30
홍성,2022-07-02 00:00,구름많음,23,32
홍성,2022-07-02 12:00,구름많음,23,32
홍성,2022-07-03 00:00,구름많음,22,30
홍성,2022-07-03 12:00,흐림,22,30
홍성,2022-07-04 00:00,흐림,23,29
홍성,2022-07-04 12:00,흐림,23,29
홍성,2022-07-05 00:00,흐림,23,28
홍성,2022-07-05 12:00,흐리고 비,23,28
홍성,2022-07-06 00:00,흐리고 비,24,29
홍성,2022-07-07 00:00,흐리고 비,23,29
홍성,2022-07-08 00:00,흐림,24,30
청주,2022-07-01 00:00,흐리고 비,24,31
청주,2022-07-01 12:00,흐리고 비,24,31
청주,2022-07-02 00:00,구름많음,24,32
청주,2022-07-02 12:00,구름많음,24,32
청주,2022-07-03 00:00,구름많음,24,31
청주,2022-07-03 12:00,흐림,24,31
청주,2022-07-04 00:00,흐림,24,31
청주,2022-07-04 12:00,흐림,24,31
청주,2022-07-05 00:00,흐림,24,31
청주,2022-07-05 12:00,흐리고 비,24,31
청주,2022-07-06 00:00,흐리고 비,24,31
청주,2022-07-07 00:00,흐리고 비,24,31
청주,2022-07-08 00:00,흐림,24,31
충주,2022-07-01 00:00,흐리고 비,22,30
충주,2022-07-01 12:00,흐리고 비,22,30
충주,2022-07-02 00:00,구름많음,23,32
충주,2022-07-02 12:00,구름많음,23,32
충주,2022-07-03 00:00,구름많음,22,31
충주,2022-07-03 12:00,흐림,22,31
충주,2022-07-04 00:00,흐림,22,30
충주,2022-07-04 12:00,흐림,22,30
충주,2022-07-05 00:00,흐림,23,30
충주,2022-07-05 12:00,흐리고 비,23,30
충주,2022-07-06 00:00,흐리고 비,23,30
충주,2022-07-07 00:00,흐리고 비,23,30
충주,2022-07-08 00:00,흐림,23,30
영동,2022-07-01 00:00,흐리고 비,21,31
영동,2022-07-01 12:00,흐리고 비,21,31
영동,2022-07-02 00:00,구름많음,21,33
영동,2022-07-02 12:00,구름많음,21,33
영동,2022-07-03 00:00,구름많음,22,31
영동,2022-07-03 12:00,흐림,22,31
영동,2022-07-04 00:00,흐림,22,29
영동,2022-07-04 12:00,흐림,22,29
영동,2022-07-05 00:00,흐림,22,30
영동,2022-07-05 12:00,흐리고 비,22,30
영동,2022-07-06 00:00,흐리고 비,22,31
영동,2022-07-07 00:00,흐리고 비,22,31
영동,2022-07-08 00:00,흐림,22,32
광주,2022-07-01 00:00,흐림,24,32
광주,2022-07-01 12:00,흐림,24,32
광주,2022-07-02 00:00,구름많음,24,33
광주,2022-07-02 12:00,구름많음,24,33
광주,2022-07-03 00:00,구름많음,24,31
광주,2022-07-03 12:00,흐림,24,31
광주,2022-07-04 00:00,흐림,24,30
광주,2022-07-04 12:00,흐림,24,30
광주,2022-07-05 00:00,흐리고 비,24,30
광주,2022-07-05 12:00,흐림,24,30
광주,2022-07-06 00:00,흐림,24,31
광주,2022-07-07 00:00,흐림,24,31
광주,2022-07-08 00:00,흐림,24,31
목포,2022-07-01 00:00,흐림,24,30
목포,2022-07-01 12:00,흐림,24,30
목포,2022-07-02 00:00,구름많음,23,30
목포,2022-07-02 12:00,구름많음,23,30
목포,2022-07-03 00:00,구름많음,23,28
목포,2022-07-03 12:00,흐림,23,28
목포,2022-07-04 00:00,흐림,24,27
목포,2022-07-04 12:00,흐림,24,27
목포,2022-07-05 00:00,흐리고 비,24,28
목포,2022-07-05 12:00,흐림,24,28
목포,2022-07-06 00:00,흐림,24,29
목포,2022-07-07 00:00,흐림,24,29
목포,2022-07-08 00:00,흐림,24,29
여수,2022-07-01 00:00,흐림,23,27
여수,2022-07-01 12:00,흐림,23,27
여수,2022-07-02 00:00,구름많음,23,29
여수,2022-07-02 12:00,구름많음,23,29
여수,2022-07-03 00:00,구름많음,23,27
여수,2022-07-03 12:00,흐림,23,27
여수,2022-07-04 00:00,흐림,23,26
여수,2022-07-04 12:00,흐림,23,26
여수,2022-07-05 00:00,흐리고 비,23,27
여수,2022-07-05 12:00,흐림,23,27
여수,2022-07-06 00:00,흐림,23,28
여수,2022-07-07 00:00,흐림,23,28
여수,2022-07-08 00:00,흐림,23,29
순천,2022-07-01 00:00,흐림,25,30
순천,2022-07-01 12:00,흐림,25,30
순천,2022-07-02 00:00,구름많음,24,31
순천,2022-07-02 12:00,구름많음,24,31
순천,2022-07-03 00:00,구름많음,23,29
순천,2022-07-03 12:00,흐림,23,29
순천,2022-07-04 00:00,흐림,24,27
순천,2022-07-04 12:00,흐림,24,27
순천,2022-07-05 00:00,흐리고 비,24,29
순천,2022-07-05 12:00,흐림,24,29
순천,2022-07-06 00:00,흐림,24,30
순천,2022-07-07 00:00,흐림,24,30
순천,2022-07-08 00:00,흐림,24,31
광양,2022-07-01 00:00,흐림,24,30
광양,2022-07-01 12:00,흐림,24,30
광양,2022-07-02 00:00,구름많음,23,32
광양,2022-07-02 12:00,구름많음,23,32
광양,2022-07-03 00:00,구름많음,23,29
광양,2022-07-03 12:00,흐림,23,29
광양,2022-07-04 00:00,흐림,23,28
광양,2022-07-04 12:00,흐림,23,28
광양,2022-07-05 00:00,흐리고 비,24,29
광양,2022-07-05 12:00,흐림,24,29
광양,2022-07-06 00:00,흐림,24,30
광양,2022-07-07 00:00,흐림,25,30
광양,2022-07-08 00:00,흐림,24,31
나주,2022-07-01 00:00,흐림,23,31
나주,2022-07-01 12:00,흐림,23,31
나주,2022-07-02 00:00,구름많음,22,32
나주,2022-07-02 12:00,구름많음,22,32
나주,2022-07-03 00:00,구름많음,23,29
나주,2022-07-03 12:00,흐림,23,29
나주,2022-07-04 00:00,흐림,23,28
나주,2022-07-04 12:00,흐림,23,28
나주,2022-07-05 00:00,흐리고 비,23,30
나주,2022-07-05 12:00,흐림,23,30
나주,2022-07-06 00:00,흐림,24,30
나주,2022-07-07 00:00,흐림,24,30
나주,2022-07-08 00:00,흐림,24,32
전주,2022-07-01 00:00,구름많음,24,32
전주,2022-07-01 12:00,흐림,24,32
전주,2022-07-02 00:00,구름많음,23,33
전주,2022-07-02 12:00,구름많음,23,33
전주,2022-07-03 00:00,구름많음,23,31
전주,2022-07-03 12:00,흐림,23,31
전주,2022-07-04 00:00,흐림,24,30
전주,2022-07-04 12:00,흐림,24,30
전주,2022-07-05 00:00,흐리고 비,24,31
전주,2022-07-05 12:00,흐림,24,31
전주,2022-07-06 00:00,흐림,24,31
전주,2022-07-07 00:00,흐림,24,31
전주,2022-07-08 00:00,흐림,24,32
군산,2022-07-01 00:00,구름많음,23,30
군산,2022-07-01 12:00,흐림,23,30
군산,2022-07-02 00:00,구름많음,23,31
군산,2022-07-02 12:00,구름많음,23,31
군산,2022-07-03 00:00,구름많음,22,30
군산,2022-07-03 12:00,흐림,22,30
군산,2022-07-04 00:00,흐림,23,29
군산,2022-07-04 12:00,흐림,23,29
군산,2022-07-05 00:00,흐리고 비,23,29
군산,2022-07-05 12:00,흐림,23,29
군산,2022-07-06 00:00,흐림,24,29
군산,2022-07-07 00:00,흐림,24,30
군산,2022-07-08 00:00,흐림,24,30
정읍,2022-07-01 00:00,구름많음,24,31
정읍,2022-07-01 12:00,흐림,24,31
정읍,2022-07-02 00:00,구름많음,23,32
정읍,2022-07-02 12:00,구름많음,23,32
정읍,2022-07-03 00:00,구름많음,23,30
정읍,2022-07-03 12:00,흐림,23,30
정읍,2022-07-04 00:00,흐림,23,30
정읍,2022-07-04 12:00,흐림,23,30
정읍,2022-07-05 00:00,흐리고 비,24,30
정읍,2022-07-05 12:00,흐림,24,30
정읍,2022-07-06 00:00,흐림,24,31
정읍,2022-07-07 00:00,흐림,24,31
정읍,2022-07-08 00:00,흐림,24,31
남원,2022-07-01 00:00,구름많음,23,31
남원,2022-07-01 12:00,흐림,23,31
남원,2022-07-02 00:00,구름많음,22,33
남원,2022-07-02 12:00,구름많음,22,33
남원,2022-07-03 00:00,구름많음,22,30
남원,2022-07-03 12:00,흐림,22,30
남원,2022-07-04 00:00,흐림,23,29
남원,2022-07-04 12:00,흐림,23,29
남원,2022-07-05 00:00,흐리고 비,23,30
남원,2022-07-05 12:00,흐림,23,30
남원,2022-07-06 00:00,흐림,24,31
남원,2022-07-07 00:00,흐림,24,30
남원,2022-07-08 00:00,흐림,23,32
고창,2022-07-01 00:00,구름많음,24,31
고창,2022-07-01 12:00,흐림,24,31
고창,2022-07-02 00:00,구름많음,23,31
고창,2022-07-02 12:00,구름많음,23,31
고창,2022-07-03 00:00,구름많음,23,30
고창,2022-07-03 12:00,흐림,23,30
고창,2022-07-04 00:00,흐림,24,29
고창,2022-07-04 12:00,흐림,24,29
고창,2022-07-05 00:00,흐리고 비,24,30
고창,2022-07-05 12:00,흐림,24,30
고창,2022-07-06 00:00,흐림,24,30
고창,2022-07-07 00:00,흐림,24,30
고창,2022-07-08 00:00,흐림,24,30
무주,2022-07-01 00:00,구름많음,22,31
무주,2022-07-01 12:00,흐림,22,31
무주,2022-07-02 00:00,구름많음,21,33
무주,2022-07-02 12:00,구름많음,21,33
무주,2022-07-03 00:00,구름많음,22,31
무주,2022-07-03 12:00,흐림,22,31
무주,2022-07-04 00:00,흐림,22,28
무주,2022-07-04 12:00,흐림,22,28
무주,2022-07-05 00:00,흐리고 비,22,30
무주,2022-07-05 12:00,흐림,22,30
무주,2022-07-06 00:00,흐림,23,30
무주,2022-07-07 00:00,흐림,22,30
무주,2022-07-08 00:00,흐림,22,31
부산,2022-07-01 00:00,구름많음,23,28
부산,2022-07-01 12:00,구름많음,23,28
부산,2022-07-02 00:00,구름많음,23,28
부산,2022-07-02 12:00,구름많음,23,28
부산,2022-07-03 00:00,흐림,23,28
부산,2022-07-03 12:00,흐림,23,28
부산,2022-07-04 00:00,흐림,23,27
부산,2022-07-04 12:00,흐림,23,27
부산,2022-07-05 00:00,흐리고 비,23,27
부산,2022-07-05 12:00,흐림,23,27
부산,2022-07-06 00:00,흐림,23,28
부산,2022-07-07 00:00,흐림,23,27
부산,2022-07-08 00:00,흐림,23,28
울산,2022-07-01 00:00,구름많음,23,32
울산,2022-07-01 12:00,구름많음,23,32
울산,2022-07-02 00:00,구름많음,23,31
울산,2022-07-02 12:00,구름많음,23,31
울산,2022-07-03 00:00,흐림,23,31
울산,2022-07-03 12:00,흐림,23,31
울산,2022-07-04 00:00,흐림,23,29
울산,2022-07-04 12:00,흐림,23,29
울산,2022-07-05 00:00,흐리고 비,23,30
울산,2022-07-05 12:00,흐림,23,30
울산,2022-07-06 00:00,흐림,24,31
울산,2022-07-07 00:00,흐림,24,31
울산,2022-07-08 00:00,흐림,23,32
창원,2022-07-01 00:00,구름많음,23,29
창원,2022-07-01 12:00,구름많음,23,29
창원,2022-07-02 00:00,구름많음,22,31
창원,2022-07-02 12:00,구름많음,22,31
창원,2022-07-03 00:00,흐림,22,29
창원,2022-07-03 12:00,흐림,22,29
창원,2022-07-04 00:00,흐림,23,28
창원,2022-07-04 12:00,흐림,23,28
창원,2022-07-05 00:00,흐리고 비,23,29
창원,2022-07-05 12:00,흐림,23,29
창원,2022-07-06 00:00,흐림,23,29
창원,2022-07-07 00:00,흐림,23,30
창원,2022-07-08 00:00,흐림,23,31
진주,2022-07-01 00:00,구름많음,24,30
진주,2022-07-01 12:00,구름많음,24,30
진주,2022-07-02 00:00,구름많음,22,32
진주,2022-07-02 12:00,구름많음,22,32
진주,2022-07-03 00:00,흐림,22,30
진주,2022-07-03 12:00,흐림,22,30
진주,2022-07-04 00:00,흐림,23,28
진주,2022-07-04 12:00,흐림,23,28
진주,2022-07-05 00:00,흐리고 비,23,29
진주,2022-07-05 12:00,흐림,23,29
진주,2022-07-06 00:00,흐림,24,30
진주,2022-07-07 00:00,흐림,23,30
진주,2022-07-08 00:00,흐림,23,31
거창,2022-07-01 00:00,구름많음,21,31
거창,2022-07-01 12:00,구름많음,21,31
거창,2022-07-02 00:00,구름많음,21,32
거창,2022-07-02 12:00,구름많음,21,32
거창,2022-07-03 00:00,흐림,21,30
거창,2022-07-03 12:00,흐림,21,30
거창,2022-07-04 00:00,흐림,22,28
거창,2022-07-04 12:00,흐림,22,28
거창,2022-07-05 00:00,흐리고 비,22,30
거창,2022-07-05 12:00,흐림,22,30
거창,2022-07-06 00:00,흐림,22,31
거창,2022-07-07 00:00,흐림,22,30
거창,2022-07-08 00:00,흐림,22,31
통영,2022-07-01 00:00,구름많음,23,28
통영,2022-07-01 12:00,구름많음,23,28
통영,2022-07-02 00:00,구름많음,22,29
통영,2022-07-02 12:00,구름많음,22,29
통영,2022-07-03 00:00,흐림,22,27
통영,2022-07-03 12:00,흐림,22,27
통영,2022-07-04 00:00,흐림,23,27
통영,2022-07-04 12:00,흐림,23,27
통영,2022-07-05 00:00,흐리고 비,23,27
통영,2022-07-05 12:00,흐림,23,27
통영,2022-07-06 00:00,흐림,23,27
통영,2022-07-07 00:00,흐림,23,27
통영,2022-07-08 00:00,흐림,23,27
대구,2022-07-01 00:00,구름많음,24,33
대구,2022-07-01 12:00,맑음,24,33
대구,2022-07-02 00:00,구름많음,24,34
대구,2022-07-02 12:00,구름많음,24,34
대구,2022-07-03 00:00,구름많음,24,32
대구,2022-07-03 12:00,흐림,24,32
대구,2022-07-04 00:00,흐림,24,31
대구,2022-07-04 12:00,흐림,24,31
대구,2022-07-05 00:00,흐리고 비,24,31
대구,2022-07-05 12:00,흐림,24,31
대구,2022-07-06 00:00,흐림,24,32
대구,2022-07-07 00:00,흐림,24,32
대구,2022-07-08 00:00,흐림,24,33
안동,2022-07-01 00:00,구름많음,23,32
안동,2022-07-01 12:00,맑음,23,32
안동,2022-07-02 00:00,구름많음,23,33
안동,2022-07-02 12:00,구름많음,23,33
안동,2022-07-03 00:00,구름많음,23,32
안동,2022-07-03 12:00,흐림,23,32
안동,2022-07-04 00:00,흐림,23,31
안동,2022-07-04 12:00,흐림,23,31
안동,2022-07-05 00:00,흐리고 비,23,30
안동,2022-07-05 12:00,흐림,23,30
안동,2022-07-06 00:00,흐림,23,31
안동,2022-07-07 00:00,흐림,23,31
안동,2022-07-08 00:00,흐림,23,31
포항,2022-07-01 00:00,구름많음,25,34
포항,2022-07-01 12:00,맑음,25,34
포항,2022-07-02 00:00,구름많음,25,33
포항,2022-07-02 12:00,구름많음,25,33
포항,2022-07-03 00:00,구름많음,25,32
포항,2022-07-03 12:00,흐림,25,32
포항,2022-07-04 00:00,흐림,24,30
포항,2022-07-04 12:00,흐림,24,30
포항,2022-07-05 00:00,흐리고 비,24,30
포항,2022-07-05 12:00,흐림,24,30
포항,2022-07-06 00:00,흐림,25,31
포항,2022-07-07 00:00,흐림,25,30
포항,2022-07-08 00:00,흐림,24,31
경주,2022-07-01 00:00,구름많음,23,35
경주,2022-07-01 12:00,맑음,23,35
경주,2022-07-02 00:00,구름많음,22,34
경주,2022-07-02 12:00,구름많음,22,34
경주,2022-07-03 00:00,구름많음,22,32
경주,2022-07-03 12:00,흐림,22,32
경주,2022-07-04 00:00,흐림,23,30
경주,2022-07-04 12:00,흐림,23,30
경주,2022-07-05 00:00,흐리고 비,23,31
경주,2022-07-05 12:00,흐림,23,31
경주,2022-07-06 00:00,흐림,23,32
경주,2022-07-07 00:00,흐림,23,31
경주,2022-07-08 00:00,흐림,23,33
울진,2022-07-01 00:00,구름많음,22,28
울진,2022-07-01 12:00,맑음,22,28
울진,2022-07-02 00:00,구름많음,22,28
울진,2022-07-02 12:00,구름많음,22,28
울진,2022-07-03 00:00,구름많음,22,28
울진,2022-07-03 12:00,흐림,22,28
울진,2022-07-04 00:00,흐림,22,27
울진,2022-07-04 12:00,흐림,22,27
울진,2022-07-05 00:00,흐리고 비,22,27
울진,2022-07-05 12:00,흐림,22,27
울진,2022-07-06 00:00,흐림,22,27
울진,2022-07-07 00:00,흐림,22,27
울진,2022-07-08 00:00,흐림,22,27
울릉도,2022-07-01 00:00,구름많음,24,29
울릉도,2022-07-01 12:00,맑음,24,29
울릉도,2022-07-02 00:00,구름많음,23,29
울릉도,2022-07-02 12:00,구름많음,23,29
울릉도,2022-07-03 00:00,구름많음,23,28
울릉도,2022-07-03 12:00,흐림,23,28
울릉도,2022-07-04 00:00,흐림,23,27
울릉도,2022-07-04 12:00,흐림,23,27
울릉도,2022-07-05 00:00,흐리고 비,22,27
울릉도,2022-07-05 12:00,흐림,22,27
울릉도,2022-07-06 00:00,흐림,22,27
울릉도,2022-07-07 00:00,흐림,22,26
울릉도,2022-07-08 00:00,흐림,22,26
제주,2022-07-01 00:00,구름많음,24,32
제주,2022-07-01 12:00,구름많음,24,32
제주,2022-07-02 00:00,구름많음,23,30
제주,2022-07-02 12:00,구름많음,23,30
제주,2022-07-03 00:00,흐림,24,30
제주,2022-07-03 12:00,흐림,24,30
제주,2022-07-04 00:00,흐림,24,29
제주,2022-07-04 12:00,흐리고 비,24,29
제주,2022-07-05 00:00,흐리고 비,24,30
제주,2022-07-05 12:00,흐림,24,30
제주,2022-07-06 00:00,흐림,24,31
제주,2022-07-07 00:00,흐림,24,30
제주,2022-07-08 00:00,흐림,24,30
서귀포,2022-07-01 00:00,구름많음,24,28
서귀포,2022-07-01 12:00,구름많음,24,28
서귀포,2022-07-02 00:00,구름많음,23,28
서귀포,2022-07-02 12:00,구름많음,23,28
서귀포,2022-07-03 00:00,흐림,24,27
서귀포,2022-07-03 12:00,흐림,24,27
서귀포,2022-07-04 00:00,흐림,24,27
서귀포,2022-07-04 12:00,흐리고 비,24,27
서귀포,2022-07-05 00:00,흐리고 비,24,27
서귀포,2022-07-05 12:00,흐림,24,27
서귀포,2022-07-06 00:00,흐림,24,28
서귀포,2022-07-07 00:00,흐림,24,28
서귀포,2022-07-08 00:00,흐림,24,28
