Rank,Title,Content
32,"특별한 아이, 특별한 엄마","<특별한 아이, 특별한 엄마> 나에겐 세상 누구보다 특별한 아들이 있습니다. 

나의 하나밖에 없는 아들은 초등학생이 되어도 말을 하지 못합니다.
엄마에게 “엄마”라고 부르지도 못하고, 높은 곳에 올라가도 위험한 줄 모르고 행복해하는 특별한 아이입니다. 

다른 아이들이 걸어갈 때 미친 듯이 뛰어가는 아이
다른 아이들이 책상에 앉아 공부할 때 퍼즐만 하는 아이
다른 아이들이 놀이터에서 신나게 놀 때 나무 위에 매달려 있는 아이입니다.

이 특별한 아이가 보는 세상이 이 아이가 느끼는 즐거움이 너희와 달라 그런 것이라고 알려주고 싶습니다. 
놀이터에서 노는 것보단 나무 위에 매달려 있을 때가 재미있다는 걸 이해해주는 사람들이 많았으면 좋겠습니다.

이 아이가 나무에 올라가 있는 것이 누군가의 재미있는 이야기거리가 아닌, 이 아이의 자극을 추구하는 재미있는 놀이라는 것을요. 
나무 위에 올라가 있는 아이는 자신의 감각 자극이 충분히 충족되면 엄마가 부르지 않아도 스스로 내려옵니다. 엄마는 그걸 알기에 기다려 줍니다. 

사랑하는 내 아이에게 남들과 다른 시선의 따가움이 아닌, 세상은 아직 살만한 가치가 있고 변화의 가능성이 있다는 것을 알려주고 싶습니다. 

너를 키우며 마주하는 엄마의 행복과 좌절, 그리고 반성의 순간까지도 귀한 추억으로 간직하려 합니다.
누군가는 느끼지 않아도 되는 수많은 경험과 수 많은 감정들이 있기에 엄마의 삶은 간절하고, 때론 빛이 납니다.

특별한 너와 나의 빛나는 삶의 이야기. 시작합니다."
33,삼국지 원전 완역판 세트(10권),"<삼국지 원전 완역판 세트(10권)> 

*10권 오장원(五丈原)

“어리석은 자로다. 어리석은 사마의는 질리지도 않고 부하가 똑같은 패전을 되풀이하게 만드는구나. 똑똑히 보아라. 공명은 무도나 음평이 아니라 여기 있다.”
산꼭대기에서 울려 퍼지는 음성은 바로 공명 목소리다.

촉나라의 제갈공명과 위나라의 사마중달이 승패를 알 수 없는 지략 싸움을 펼친다. 한 발자국 앞서 상대를 무너뜨리고, 천하 통일을 위한 열쇠를 쥐게 될 인물은 과연 누구일까?"
34,"돈, 뜨겁게 사랑하고 차갑게 다루어라","<돈, 뜨겁게 사랑하고 차갑게 다루어라> 유럽 증권계의 ‘위대한 유산’, 앙드레 코스톨라니 최후의 역작

유럽 제일의 투자자 코스톨라니가 넘치는 기지와 유머로 돈의 매력을 탐지하며 증권 거래와 투자심리에 중요한 변수인 투자의 근본적인 비밀과 기술을 설명하고 있다. 동시에 그는 투자자들에게 21세기 증권시장에 있어서 기회와 위험, 그리고 변화와 상승 · 하락에 대한 전망을 제시한다. 경제적인 성공에 결정적인 것은 돈에 대한 올바른 태도이며, 자신의 성격과 투자전략의 일치라고 말하는 저자의 돈과 투자에 대한 철학이 담겨 있다."
35,아노말리,"<아노말리> 

2020년 공쿠르상 수상작. 프랑스 판매 110부 이상,
전 세계 45개국 번역 출판된, 공쿠르 수상작 중 가장 많은 화제와 판매를 기록한 놀라운 작품!

2021년 3월 10일, 파리에서 출발해 뉴욕으로 향하는 에어프랑스 여객기가 예고에 없던 난기류를 만나 위기를 겪은 후 무사히 착륙한다. 그리고 3달 뒤인 6월 24일, 동일한 여객기가 동일한 지점에서 난기류를 만나고, 동일한 착륙 지점을 향해 간다. 도플갱어처럼 똑같은 기장과 승무원, 승객들을 싣고서……. 

전대미문의 SF적 상황을 통해 삶의 의미를 통찰하게 하는, 논리와 마법이 조우한 걸작!"
36,데일 카네기 자기관리론,"<데일 카네기 자기관리론> 『인간관계론』과 짝을 이루는 데일 카네기 최고의 역작
걱정이 내 인생을 망치기 전에 반드시 읽어야 할 책!

워런 버핏이 직접 적용한, 걱정 없는 인생의 핵심 원리 
세계 최초의 ‘걱정 극복 실험실’에서 탄생한 마법의 공식 수록! 

현대지성에서는 출간 즉시 베스트셀러가 된 『데일 카네기 인간관계론』에 이어 저자의 또 다른 역작 『데일 카네기 자기관리론』을 펴냈다. 이 책은 국내에서 유일하게 1948년 초판의 10부까지 고스란히 담은 ‘오리지널’ 초판 완역본이다. 
벼락을 맞아도 끄떡없고, 숱한 폭풍우를 꿋꿋이 견뎌낸 아름드리 고목이 사람의 손가락 마디만 한 딱정벌레의 공격을 받아 맥없이 쓰러진다. 사자도 함부로 덤비지 못할 만큼 전투력이 강한 코끼리가 꿀벌의 가느다란 침에 속수무책으로 당한다. 우리 인생도 다르지 않다. “개미구멍 하나가 큰 제방 둑을 무너뜨린다”라는 속담처럼 사소한 걱정에 쉽게 마음을 내주어 인생을 망치는 사람이 수두룩하다. 걱정은 내일의 슬픔을 덜어주지 않고 도리어 오늘 살아갈 힘을 앗아가기에, 걱정이 인생을 좀먹도록 내버려둔다면 언젠가 큰 대가를 치르게 된다.
베스트셀러 『인간관계론』 저자인 데일 카네기는 성인들에게 화술과 인간관계를 가르치는 동안 ‘걱정’이 모든 인생 문제의 주원인이자 자기관리의 핵심 요소임을 깨달았다. 그래서 ‘걱정을 멈추고 새로운 인생을 사는 법’을 교육하기로 마음먹었다. 하지만 문제가 생겼다. 교과서로 삼기에 적합한 책을 찾을 수 없었던 것이다. 결국 직접 쓸 수밖에 없었다. 이것이 또 한 권의 세계적인 베스트셀러가 탄생하게 된 배경이다.  
그는 동서고금의 온갖 자료를 샅샅이 훑으면서 각 분야의 전문가에게 조언을 들었다. 뿐만 아니라 170여 개 도시에서 열린 강좌를 ‘걱정 극복 실험실’로 삼아 수많은 사례를 수집하고 분석한 끝에 ‘마법의 공식’을 도출했다. 준비 기간 포함 7년에 걸쳐 집필한 이 책에는 걱정을 떨쳐내게 해줄 모든 지혜가 간결하고도 명확하게 담겨 있다. 또한 각계각층의 명사들 및 평범한 이웃들의 생생한 사례와 함께 당장 적용할 수 있는 구체적인 해결책을 제시했다. 모두 그가 활동하던 20세기 초부터 한 세기에 걸쳐 효과가 입증된 방법들이다. 
걱정 없이 살게 해줄 가장 적실하고 효과적인 실행법을 수록한 이 책은 카네기의 또 다른 역작 『인간관계론』과 함께 자기계발서의 원전(原典)으로 손꼽힌다. 지금의 나를 넘어 보다 행복한 인생을 꿈꾼다면, 핵심을 콕콕 집어 전달하면서 무기력한 일상을 깨우고 변화의 길로 이끄는 카네기의 조언에 귀를 기울여보자. 

“나는 데일 카네기에게 인생에서 가장 중요한 것을 배웠다.” _워런 버핏"
37,당신만 모르는 일의 법칙 51,"<당신만 모르는 일의 법칙 51> 

무조건 열심히 일하는 게 정답은 아니다
성공하는 일의 법칙은 따로 있다!

15년 동안 기자로 일하며 세계 최정상에 선 5000명을
만나서 밝혀낸 스마트하게 일하는 법

왜 같은 일을 해도 누구는 성공하고 누구는 실패할까? 세계 최정상에 오른 사람들은 어떻게 그 자리에 서게 되었을까? 저자는 일을 어떻게 하면 잘할 수 있을까에 대한 궁금증을 해결하기 위해 15년 동안 기자로 일하며 만나 왔던 5000여 명의 세계 최정상에 선 인물들이 어떻게 일하는지를 직접 파헤쳤다. 
픽사 창업자, 구찌 CEO, 레고 CEO, 에어비앤비 창업자 등 글로벌 기업의 리더들을 비롯해, 노벨 경제학상 수상자, 영화감독 봉준호, 프로게이머 페이커 등 그들에게는 성공할 수밖에 없는 이유가 있었다. 그들을 성공으로 이끈 일하는 비결을 행동 경제학과 심리학의 틀로 정리했다. 상식과 고정 관념을 깨고 지금 당장 써먹을 수 있는 법칙들이 가득한 이 책은 한국형 《타이탄의 도구들》이라고 불러도 손색이 없다. 
세계 최고의 인재들이 공통적으로 갖춘 능력은 무엇인지, 이루고 싶은 꿈이 있다면 왜 동네방네 소문부터 내라고 하는지, 왜 완벽함보다 속도가 더 중요하다고 하는지, 원하는 연봉을 받는 사람들의 비밀은 무엇인지 등 당신이 누구든 어떤 일을 하든 이 책은 성공의 길로 나아가는 당신에게 강력한 무기가 되어 줄 것이다."
38,부의 추월차선(10주년 기념 에디션),"<부의 추월차선(10주년 기념 에디션)> 미국 아마존 금융ㆍ사업 분야 1위
국내 유명서점 10년간 종합 베스트셀러

가장 빠르게 부자 되는 새로운 공식을 제시해 큰 반향 불러일으킨 책
부자 되기 방식의 패러다임을 바꾼 〈부의 추월차선〉이 독자들의 사랑과 지지 속에 한국 출간 10주년을 맞이했다. 이 책은 죽도록 일하며 수십 년 간 아끼고 모아서 휠체어에 탈 때쯤 부자 되는 40년짜리 플랜을 비웃으며 한 살이라도 젊을 때 부자가 되어 은퇴하는 방법을 구체적으로 제시하고 있다.

‘추월차선’을 알고 난 뒤 부의 지도를 다시 그린 사람들은 하나같이 입을 모은다.
“추월차선 법칙을 알게 된 뒤 나는 내가 돈에 쪼들리며 사는 이유를 알게 되었고, 그런 인생으로부터 벗어나기로 결심했다. 4년 후 나는 자산을 4배로 불릴 수 있었다.”
“이제 나는 부자가 되는 데 돈 많은 부모님도, 운도 필요 없다는 사실을 알게 되었다. 돈을 버는 방법에 대한 지식만이 필요할 뿐이다. 그리고 추월차선이 내게 그 지식을 주었다.”

휠체어 탄 백만장자는 부럽지 않다! 젊은 나이에 일과 돈에서 해방되어 인생을 즐겨라!
일주일에 5일을 노예처럼 일하고 다시 노예처럼 일하기 위해 2일을 쉬는 당신, 30대 억만장자가 알려 주는 가장 빠른 부자의 길 “부의 추월차선”으로 옮겨 타라!"
39,운명을 바꾸는 부동산 투자 수업 (기초편),"<운명을 바꾸는 부동산 투자 수업 (기초편)> 

“부동산 투자가 당신의 운명을 바꾼다”
평범한 월급쟁이를 돈 버는 투자자로!
‘부읽남’의 절대 실패하지 않는 부동산 투자 바이블
82만 명의 투자 멘토, ‘부동산읽어주는남자’ 정태익의 첫 번째 투자서가 드디어 출간되었다. 지금 투자 초보자는 혼란스럽다. 전세도, 월세도, 매매도 올라버렸다. 부동산 투자를 하고 싶지만 통장 잔고는 부족하고 대출은 두렵기만 하다. 언젠가 내 집 마련에 성공하고 부동산 투자를 시작할 수 있을까?
수많은 부동산 초보자를 위해 명실상부한 대한민국 투자 전문가 ‘부읽남’이 나섰다. 그는 긍정적인 투자 마인드를 새기는 일이 무엇보다 중요하다고 강조한다. 1권 ‘기초편’에서 그는 부동산 투자의 기본 원리부터 투자를 가로막는 마음속 장애물을 무너뜨릴 수 있는 방법을 제시한다. 그런 후에, 반드시 알아야 할 부동산 투자 법칙을 이해하고 나에게 맞는 투자 플랜을 세우는 것이 순서다. 2권 ‘실전편’에서는 실제 부동산 투자에 필요한 다양한 배경지식과 함께 투자 플랜 세우기, 입지 분석법, 아파트 투자법, 비(非)아파트 투자법 등 다양한 투자 비법을 전수한다. 이 책의 투자 수업을 따라가며 마인드를 탄탄히 다지고 실전 기술을 트레이닝한다면, 내 집 마련은 물론이고 어느새 돈 버는 투자자로 거듭난 자신을 발견하게 될 것이다."
40,개정판 | 살인자의 기억법,"<개정판 | 살인자의 기억법> 치밀한 구성과 대담한 문체,
묵직한 주제와 위트를 갖춘 최고의 심리스릴러
『살인자의 기억법』

김영하 등단 25주년을 맞이해 새롭게 선보이는 ‘복복서가_김영하_소설’의 네번째 작품으로 『살인자의 기억법』을 출간한다. 김영하의 일곱번째 장편소설인 『살인자의 기억법』은 2013년 문학동네에서 초판이 출간된 이래로 지금까지 56쇄를 중쇄하며 많은 사랑을 받아왔으며, 2020년 독일에서 ‘최고의 추리소설’ 1위에 선정되기도 하는 등 많은 나라에서 호평을 받고 있다.

알츠하이머에 걸려 희미해지는 기억과 사투를 벌이는 연쇄살인범 김병수는 기억을 붙잡기 위해 자신의 일거수일투족을 녹음하고, 매일의 일과를 일기로 기록한다. 소설은 이 주인공이 일지 형식으로 쓰는 짧은 글들의 연쇄로 이루어진다. 패러독스와 위트가 넘치는 문장들 속에 감추어진 진의를 찾아가는 독서 경험은 한 편 한 편의 시를 읽는 느낌마저 준다. 복복서가판에서는 단절적 기억과 뚝뚝 끊어지는 서술을 보다 효과적으로 표현하기 위해 여백을 많이 두는 편집을 하였다. 또한 작품의 심층심리적 구조와 윤리적 의미에 주목한 문학평론가 류보선의 작품론을 새로 실었고, 지난 7년간 미국, 영국, 프랑스, 독일 등 십여개국에서 출간된 후 쏟아진 리뷰들을 일부 발췌하여 함께 수록하였다.

“훌륭한 캐릭터와 심리학적 통찰, 기가 막힌 스토리텔링을 모두 갖춘
독창적인 작품의 완벽한 예시이며 또한 근사한 사회 비평이기도 하다.”
_NB매거진

선과 악, 삶과 죽음, 현실과 환상, 죄와 용서에 관한 어두운 사색 

‘알츠하이머에 걸린 살인자’라는 모티프는 이 소설이 지닌 여러 층위의 아이러니 중 가장 중요한 장치다. 수많은 타인의 생을 아무렇지 않게 앗아간 악인 김병수는 자신의 기억과 딸을 지키려 애쓰지만, 결국 그 무엇도 아닌 시간에 서서히 패배하고 만다. “무서운 건 악이 아니오. 시간이지. 아무도 그걸 이길 수가 없거든.” 일말의 죄책감조차 느끼지 못하는 사이코패스도 늙음과 죽음 앞에서는 속수무책인 것이다.
자신의 악행을 잊고 “순수한 무지의 상태로 이행”해가는 망각은 얼핏 그에게 축복처럼 보인다. 하지만 그는 철저히 망각하는 존재로서의 삶은 재앙이라는 것을 알려준다. “사람들은 모른다. 바로 지금 내가 처벌받고 있다는 것을.” 김병수가 맞닥뜨린 이러한 아이러니는, 그 누구도 예측할 수 없고 어찌해볼 수 없는 삶의 어떤 국면과 죽음의 불가피성에 대해 숙고하게 만든다. 정교한 플롯에 기억과 소멸에 대한 묵직하고 예리한 통찰이 녹아들어 있는 이 소설은 “거대한 반전 혹은 완벽한 배반”(류보선)을 이루며 깊은 여운을 남긴다.

뚜렷한 선악 구도에서 벗어난 출구 없는 서사, 어디까지가 허구고 어디까지가 사실인지 경계가 모호하지만 그럼에도 불구하고 유일하게 의존할 수밖에 없는 화자의 강렬한 독백, 관습적 사고를 교란하는 촌철살인의 문장들은 『살인자의 기억법』이 왜 김영하의 작품들 중에서도 가장 독창적인 소설로 꼽혀왔는지를 여실히 보여준다."
41,사피엔스,"<사피엔스> 인간의 역사와 미래에 대한 가장 논쟁적이고 대담한 대서사
문명의 배를 타고 진화의 바다를 항해한 인류는 이제 어디로 나아갈 것인가!

★미국, 영국, 프랑스, 독일, 중국 30여 개국 출간! 전 세계 지성계를 뒤흔든 압도적 베스트셀러! 
★재레드 다이아몬드, 대니얼 카너먼, 마크 저커버그가 격찬한 초대형 베스트셀러 마침내 한국 출간!

변방의 유인원 호모 사피엔스는 어떻게 세상의 지배자가 되었는가? 수렵채집을 하던 우리 조상들은 어떻게 한 곳에 모여 도시와 왕국을 건설하였는가? 인간은 왜 지구 역사상 가장 치명적인 동물이 되었는가? 과학은 모든 종교의 미래인가? 인간의 유효기간은 언제까지인가? 멀고먼 인류의 시원부터 인지혁명, 농업혁명, 과학혁명을 거쳐 끊임없이 진화해온 인간의 역사를 생물학, 경제학, 종교학, 심리학, 철학 등 여러 학문의 경계를 넘나들며 다양하고 생생하게 조명한 전인미답의 문제작. 호모 사피엔스부터 인공지능까지, 기나긴 역사의 시간을 한 권으로 써내려간 문명 항해기. 이제 우리는 무엇을 인간이라고 할 것인가."
42,파이어,"<파이어> 

이제 더 이상 돈 때문에 일하지 마라!

40세 전에 경제적 자유를 이룬
젊은 부자 20인의 ‘진짜 돈 버는 이야기’

‘파이어족’은 어느새 새로운 트렌드를 넘어 많은 사람들의 목표로 자리잡고 있다. 파이어(FIRE)족이란 경제적으로 독립해서 빨리 은퇴하고 여생을 즐기는 사람들이라는 뜻으로, 영어 문구 ‘Financial Independence, Retire Early(경제적 자유, 조기 은퇴)’의 약자를 따 만들어졌다. 결국 ‘파이어’란 ‘경제적 자유’와 같은 개념이다. 최근 입사와 동시에 퇴사를 꿈꾸는 수많은 2030이 파이어족을 동경하고 있지만, 한편으로는 잘나가는 연예인이나 유튜버, 사업가가 되지 않는 한 파이어를 달성하기는 어렵다고 지레 포기하기 마련이다. 
하지만 직접 38세의 나이에 신의 직장을 그만두고 ‘파이어’에 성공한 강환국 작가는 파이어가 생각보다 어렵지 않다고 말한다. 지출을 줄이고, 조금 더 벌 궁리를 하고, 꾸준히 투자하는 노력만으로도 누구나 10년이면 경제적 자유를 이룰 수 있다는 것이다. 그는 파이어를 달성한 사람들의 사례를 모으기 위해 대한민국의 파이어족들을 수소문했다. 다른 사람들은 어떤 방법으로 젊은 나이에 부를 축적했는지 궁금했기 때문이다. 그리고 마침내 그를 포함해 20명의 파이어족을 인터뷰하게 되었다.
이 책에 등장하는 파이어 부자들은 각양각색이다. 직장인으로 회사에 다니면서 부동산이나 주식 투자로 수십억 부를 쌓은 사람, 직접 기업을 창업해 부자가 된 사람, 직장은 다니지 않고 전업투자로 부자가 된 사람, 파이어를 위해 물가가 저렴한 나라로 이민을 간 사람 등 다양한 사람들의 다양한 파이어 스토리가 담겨 있다. 우리가 할 일은 이 책에 등장하는 여러 부자들의 노하우 중 내게 가장 잘 맞는 방법을 따라 하는 것뿐이다."
43,부자의 그릇,"<부자의 그릇> 김봉진 우아한형제들 의장, 청울림 유대열 대표, 하정우 배우 추천 도서

수많은 젊은 부자가 꼽은 최고의 ‘부자학 입문서’ 『부자의 그릇』 양장 개정판
“당신이 다룰 수 있는 돈의 크기는 얼마입니까?”

2015년 출간 이후, 수많은 독자로부터 꼭 읽어야 할 최고의 ‘부자학 입문서’로 꼽혀온 『부자의 그릇』이 양장 개정판으로 새롭게 출간됐다. 이 책은 김봉진 우아한형제들 의장, 청울림 유대열 대표, 하정우 배우 등이 강력 추천하고, 40곳이 넘는 유튜브 채널에서 소개되며, 수많은 젊은 부자와 독자로부터 실제 삶에 적용할 수 있는 최고의 ‘부자학 입문서’로 꼽혀왔다. 대체 이 책에 어떤 비결이 숨어 있기에, 이토록 꾸준히 사랑받으며 스테디셀러로 자리매김한 걸까?

『부자의 그릇』은 일생을 ‘돈의 교양’을 알리는 데 바쳐온 일본 최고의 경제금융 교육 전문가 이즈미 마사토가 소설 형식으로 쓴 경제경영 교양서다. 한때 연 매출 12억의 주먹밥 가게 사장이었다가 도산해 3억 원의 빚을 지고 공원을 방황하던 한 젊은 사업가가 수수께끼 노인을 만나 장장 7시간에 걸쳐 돈의 본질과 돈을 다루는 능력을 키우는 법을 배우는 과정을 다루고 있다.

이 책은 부자가 되는 방법이 돈을 좇는 데 있지 않고 신용을 쌓는 일이라고 말한다. 남을 위해 돈을 쓰고, 다른 사람의 기대에 부응하며, 약속을 철저히 지키는 일들이 어떻게 돈을 불러 모으는지, ‘돈과 신용의 원리’에 관해 누구나 쉽게 이해할 수 있도록 흥미로운 스토리텔링을 통해 전달한다. 돈에 대한 명쾌한 통찰을 담고 있어서, ‘연봉이 적어서, 빚이 있어서, 운이 나빠서, 불황이라서, 이율이 낮아서, 세상이 불공평해서’ 돈이 모이지 않는다며 좌절한 이들에게 다시 도전할 수 있는 용기와 돈을 장악하는 힘을 불어넣어 준다."
44,"메롱해치, 궁녀를 부탁해!","<메롱해치, 궁녀를 부탁해!> 

세상 무해하고도 무해하다!
경복궁의 천진한 장난꾸러기 메롱해치,
신비의 동물 해치와 궁녀들의 우당탕탕 궁궐 이야기!

선악을 구별하고 재앙을 막아주는 전설의 동물, 해치.
동글동글 폭신폭신 해치는 궁금한 게 참 많아요.
그래서인지 해치는 궐 안의 모든 일을 챙기는 궁녀들에게서 떨어질 줄을 모릅니다.

장차 궁녀가 될 어린 소녀인 생각시부터 세자의 일거수일투족을 챙기는 보모 상궁, 
왕과 왕비를 가장 가까이서 보필하는 지밀 상궁, 
왕실 사람들의 옷가지에 수를 놓는 수방 나인 등 
우리가 잘 알지 못했던 많은 이들의 웃음과 눈물이 궁궐에 있습니다.
커다란 덩치에 알고 보면 속이 깊은 해치는 한결같이 궁녀들의 곁을 지킵니다.

복작복작 어지러운 세상, 보는 것만으로도 힐링되는 해치와 궁녀들의 경복궁 이야기.
자, 이제 그 해맑고도 따듯한 이야기가 펼쳐집니다!"
45,달러구트 꿈 백화점 2,"<달러구트 꿈 백화점 2> 100만 독자를 사로잡은 《달러구트 꿈 백화점》, 그 두 번째 이야기

어느덧 페니가 달러구트 꿈 백화점에서 일한 지도 1년이 넘었다.
재고가 부족한 꿈을 관리하고, 꿈값 창고에서 감정으로 가득 찬 병을 옮기고, 프런트의 수많은 눈꺼풀 저울을 관리하는 일에 능숙해진 페니는 자신감이 넘친다. 게다가 꿈 산업 종사자로 인정을 받아야만 드나들 수 있는 ‘컴퍼니 구역’에도 가게 된 페니는 기쁜 마음을 감출 수 없다. 
하지만 그곳에서 페니를 기다리고 있는 건, 꿈에 대한 불만을 털어놓는 사람들로 가득한 ‘민원관리국’이었다. 설상가상 달러구트는 아주 심각한 민원 하나를 통째로 페니에게 맡기는데…
“왜 저에게서 꿈까지 뺏어가려고 하시나요?”라는 알쏭달쏭한 민원을 남기고 발길을 끊어버린 792번 단골손님.
페니는 과연 달러구트 꿈 백화점의 오랜 단골손님을 되찾을 수 있을까?"
46,룬의 아이들 - 윈터러 완전판,"<룬의 아이들 - 윈터러 완전판> 아름다운 세계관과 개성 넘치는 캐릭터, 유려한 문체와 깊이 있는 감성으로 한국 판타지를 이끌어온 전민희 작가의 대표작 <룬의 아이들 - 윈터러>(전7권)가 새롭게 출간되었다. '룬의 아이들' 시리즈는 국내 판매량 총 160만 부를 넘은 밀리언셀러다. 뿐만 아니라 일본, 대만, 태국, 중국에 수출되어 국내외 판매량을 합치면 300만 부를 훌쩍 넘어 '아시아 전역에서 가장 사랑받는 판타지'라는 평가를 받고 있다. 

 <룬의 아이들 - 윈터러>는 시리즈의 시작을 알리는 첫 번째 작품으로, 갑자기 가족을 잃고 검 하나에 의지한 채 혹독한 세상과 맞닥뜨리게 된 소년 보리스의 험난한 여정과 보검 '윈터러'에 담긴 비밀, 그리고 란지에, 나우플리온, 이솔렛, 엔디미온 등 그 과정에서 보리스가 만나는 갖가지 인연을 그린 작품이다. 

이번에 출간되는 <윈터러>는 작가의 세심한 가필 수정과 내용 보완을 통해 개정한 완전판이다."
47,저주토끼,"<저주토끼> 세계 3대 문학상 부커상 노미네이트!
한국 호러 SF/판타지 대표작가 정보라 대표작

“정보라는 환상적이고 초현실적인 요소를 활용해 
 현대의 가부장제와 자본주의의 참혹한 공포와 잔혹함을 이야기한다”
 ― 부커 라이브러리

할아버지는 늘 말씀하셨다. “저주에 쓰이는 물건일수록 예쁘게 만들어야 하는 법이다.” 

대를 이어 저주 용품을 만드는 집안에서 태어난 손자와 그 할아버지의 이야기. 할아버지는 오래 전 젊은 나이에 생을 마감한 친구가 있었다. 할아버지의 친구네 집안은 마을 유지인 술도가. 바른 마음으로 좋은 전통주를 제조해서 팔려고 애쓰는 할아버지 친구네 집안사람들은 그러나 세상 돌아가는 약삭빠른 이치를 깨닫지 못했다. 정부 인사와의 친분, 인물, 접대, 뇌물은 뒷전이고 좋은 술을 만드는 데 전념한 것.
그에 반해 저질 알코올에 물과 감미료를 대충 섞어 “서민들이 선호하는” 술이라고 선전하던 경쟁회사는 급기야 할아버지 친구네 집안의 술에 “공업용 알코올이 들어간다”는 흑색선전을 퍼트리고, “그 술을 마시면 눈이 멀고 불구가 된다”며 비방을 일삼았지만 호소할 방법이 없다. 결국 매출은 떨어지고 공장은 가동을 멈췄으며, 긴 소송 끝에 할아버지 친구네 집안은 몰락하고 만다. 이에 보다 못한 주인공의 할아버지가 ‘저주토끼’를 어여쁘게 만들어 손수 복수에 나서는데…. 
러시아를 비롯 슬라브어 권의 명작들을 꾸준히 번역해서 소개하고, 보태어 수준 높은 호러 SF/판타지 창작으로 꾸준히 독자들의 사랑을 받아온 정보라 작가의 대표작. 동서고금을 넘나드는 배경과 인물과 사건들이 넘치는 10편의 작품이 아우르는 주제는 복수와 저주. 저자의 풍부한 상상력은 가차 없는 저주로 복수를 대신한다. 세상의 몹쓸 것들은 도무지 뉘우칠 줄 모르고, 우리의 주인공들인 피해자(혹은 등장토끼 혹은 등장로봇)에게 용서란 없다. 
하지만 저자는 말한다. “원래 세상은 쓸쓸한 곳이고 모든 존재는 혼자이며 사필귀정이나 권선징악 혹은 복수는 경우에 따라 반드시 필요할지 모르지만, 그렇게 필요한 일을 완수한 뒤에도 세상은 여전히 쓸쓸하고 인간은 여전히 외롭다는 얘기를 하고 싶었다”고. 그런 사람들에게, 그렇게 고군분투하는 우리 모두에게 위안이 되고 싶었다고. 그렇게 이 책은 악착 같은 저주와 복수에 관한 이야기이자, 위로에 관한 우화들이다.

“용서할 수 없는 것들은, 용서하지 말자.”"
48,면접을 위한 CS 전공지식 노트,"<면접을 위한 CS 전공지식 노트> 디자인 패턴, 네트워크, 운영체제, 데이터베이스, 자료 구조, 개발자 면접과 포트폴리오까지!
CS 전공지식 습득과 면접 대비, 이 책 한 권이면 충분하다!

개발자 면접에서 큰 비중을 차지하는 CS(Computer Science) 전공지식! 디자인 패턴부터 자료 구조까지 알아야 할 게 너무 많은데, 어떻게 준비해야 할까? 이 책은 디자인 패턴, 네트워크, 운영체제, 데이터베이스, 자료 구조 등 면접에 필요한 CS 전공지식을 모두 담고 있다. 200여 개의 그림과 코드로 이론을 자세히 설명하고, 실제 라이브러리에서 사용된 디자인 패턴 등으로 실무 활용법을 함께 다뤄 이론과 실무를 놓치지 않고 학습할 수 있도록 구성했다. 또한, 중요한 내용은 깊게, 덜 중요한 내용은 핵심만 설명하며, 책 곳곳에 70여 개의 용어 풀이도 담고 있다. 마지막으로 구글, 네이버, 카카오 등 탑티어급의 회사에 합격한 저자의 경험을 기반으로 한 포트폴리오 작성법과 챕터별 예상 질문, 면접 준비 노하우도 알려준다. 개발자 면접을 준비하거나 더 나은 개발자가 되기 위해 CS 전공지식을 배우고 싶다면 이 책으로 시작하자."
49,칼,"<칼> 2019 리버튼상 수상작, [타임스] 선정 2010년대 스릴러 TOP10
어두운 오슬로, 망가진 해리 홀레가 돌아온다!

대망의 형사 해리 홀레 시리즈 12권 『칼』이 드디어 출간되었다. 형사 해리의 탄생을 알린 데뷔작 『박쥐』 이후 22년 만에 요 네스뵈에게 두 번째 리버튼상을 안긴 작품이다. 사상 최악의 사건, 압도적인 분량 내내 독자를 사로잡는 강력한 흡인력, 마지막 페이지를 읽자마자 처음으로 돌아가 복기하게 하는 촘촘한 복선은 작가의 전성기가 바로 지금이라고 말하는 듯하다.

오랫동안 경찰청을 떠나 있던 해리 홀레가 경찰로 복귀했다. 하지만 강력반 말석에서 망가진 모습으로 뻔한 사건이나 떠맡은 그는 더는 전설의 형사가 아니다. 언제나 그의 곁을 지켜주던 아내 라켈에게 버림받은 그는 다시 술을 마시기 시작했고, 종종 만취해 필름이 끊겼으며, 무의미한 관계에 빠져들었다. 그리고 절대 일어나서는 안 되는 사건이 일어났다. “라켈이…… 발견됐어요.” 시종일관 불안한 예감에 짓눌려온 해리는 이 일을 이미 알고 있는 것만 같다. 범인은 라켈의 급소에 저항 없이, 정확히 칼을 꽂았다. 라켈에게 그토록 가까이 갈 수 있었던 사람은 대체 누구일까. 해리는 라켈의 죽음과 어떤 관계가 있을까."
