,자치구명,구명,지점명,매장주소,위도,경도
63,서울특별시,성동구,왕십리,서울특별시 성동구 난계로 81 (하왕십리동),37.5592081,127.0235443
64,서울특별시,성동구,행당,서울특별시 성동구 고산자로 308 (마장동),37.5670451,127.0370444
65,서울특별시,성북구,동소문,서울특별시 성북구 아리랑로 37-2 (동소문동7가),37.5960958,127.0153569
66,서울특별시,성북구,정릉,"서울특별시 성북구 보국문로 27, 1층 (정릉동)",37.6069787,127.0104613
67,서울특별시,송파구,가락,서울특별시 송파구 오금로36길 65,37.4984666,127.1217140
68,서울특별시,송파구,롯데월드,서울특별시 송파구 올림픽로 240 롯데월드 지하1층,37.5110794,127.0981638
69,서울특별시,송파구,석촌,"서울특별시 송파구 백제고분로 285 (석촌동, 조광빌딩)",37.5027907,127.0983466
70,서울특별시,송파구,오금,서울특별시 송파구 중대로 314-1 (오금동),37.5082570,127.1337228
71,서울특별시,송파구,위례,"서울시 송파구 위례광장로 290 제상가동 1층 138,139호 (장지동 위례중앙푸르지오 2단지)",37.4747277,127.1428384
72,서울특별시,송파구,잠실본,서울특별시 송파구 백제고분로 184 (잠실동),37.5044035,127.0870570
73,서울특별시,송파구,잠실야구장,"서울특별시 송파구 올림픽로 25, 야구장내1호점 (잠실동, 서울종합운동장)",37.5148022,127.0736261
74,서울특별시,송파구,잠실,서울특별시 송파구 백제고분로 490 거보산업(주),37.5139214,127.1148332
75,서울특별시,송파구,장지,서울특별시 송파구 송이로32길 37 (문정동),37.4869712,127.1276788
76,서울특별시,양천구,목동,"서울특별시 양천구 목동중앙로 85, 금호종합상가 (목동)",37.5370105,126.8715085
77,서울특별시,양천구,신월,서울특별시 양천구 신월로 224 (신월동),37.5217334,126.8467273
78,서울특별시,양천구,양천,서울특별시 양천구 신월로 371 (신정동),37.5224109,126.8622836
79,서울특별시,영등포구,당산,"서울특별시 영등포구 영중로 145, 상가동 101호 (영등포동8가, 삼환아파트)",37.5295953,126.9049055
80,서울특별시,영등포구,대림,"서울특별시 영등포구 신길로 39, 1층 (대림동, 썬프라자)",37.4959880,126.9078281
81,서울특별시,영등포구,대방,서울특별시 영등포구 여의대방로 209 (신길동),37.5056090,126.9222742
82,서울특별시,영등포구,여의도,"서울특별시 영등포구 국제금융로 78 (여의도동, 홍우빌딩)",37.5208744,126.9313093
83,서울특별시,영등포구,영등포,"서울특별시 영등포구 문래북로 108 (문래동3가, 문래동태영데시앙)",37.5197002,126.8976235
84,서울특별시,용산구,용산,"서울특별시 용산구 원효로 210-1, 1층 (원효로2가)",37.5373714,126.9655087
85,서울특별시,용산구,이촌,서울특별시 용산구 서빙고로 40 (한강로3가),37.5239945,126.9687497
86,서울특별시,용산구,이태원,"서울특별시 용산구 보광로 112-3, 2층 (이태원동)",37.5328758,126.9946724
87,서울특별시,용산구,후암,"서울특별시 용산구 두텁바위로 13, 102호 (갈월동, 그린빌파크오피스텔)",37.5455164,126.9739411
88,서울특별시,은평구,가좌,"서울특별시 은평구 증산로 303, 상가 104~106호 (증산동, 태광아파트)",37.5842353,126.9094617
89,서울특별시,은평구,구파발,"서울특별시 은평구 진관4로 17, 820동 상가 101호 (진관동, 은평뉴타운상림마을)",37.6440574,126.9227324
90,서울특별시,은평구,연신내,서울특별시 은평구 통일로 797 (대조동),37.6153384,126.9249775
91,서울특별시,은평구,은평,서울특별시 은평구 연서로 35 (역촌동),37.6022741,126.9155780
92,서울특별시,은평구,응암,"서울특별시 은평구 백련산로 160 (응암동, 녹번역센트레빌)",37.5986770,126.9261190
93,서울특별시,종로구,대학로,서울특별시 종로구 율곡로 223 (이화동),37.5762985,127.0036811
94,서울특별시,종로구,성균관대 인사캠(서울,서울특별시 종로구 성균관로 25-2 지하 1층 600주년 기념관,37.5879535,126.9921594
95,서울특별시,종로구,세종로,서울특별시 종로구 필운대로 43 (누하동),37.5799019,126.9685239
96,서울특별시,종로구,평창,"서울특별시 종로구 평창문화로 75 글로리아타운 비동 102,103호",37.6068376,126.9690288
97,서울특별시,중구,명동,서울특별시 중구 마른내로 47 (초동),37.5647074,126.9932319
98,서울특별시,중구,신당,서울특별시 중구 다산로 156 (신당동),37.5575864,127.0124888
99,서울특별시,중랑구,면목,"서울특별시 중랑구 용마산로86길 9-27, 상가 104호 (면목동, 신성미소지움아파트)",37.5870716,127.0958590
100,서울특별시,중랑구,중랑,"서울특별시 중랑구 망우로 377 (상봉동, 성환빌딩)",37.5987546,127.0941497
